,feature_name,word,zwickau,london,breslau,version with higher score
0,word_counter,et,1521,1685,493,london
1,word_counter,in,1038,1149,380,london
2,word_counter,est,600,668,206,london
3,word_counter,de,459,531,185,london
4,word_counter,ad,426,441,253,london
5,word_counter,que,263,260,92,zwickau
6,word_counter,quod,247,273,80,london
7,word_counter,per,224,258,65,london
8,word_counter,sunt,215,228,55,london
9,word_counter,contra,198,247,111,london
10,word_counter,qui,181,208,54,london
11,word_counter,a,161,181,63,london
12,word_counter,non,160,179,51,london
13,word_counter,usque,158,178,59,london
14,word_counter,cum,144,159,35,london
15,word_counter,ab,144,153,63,london
16,word_counter,ubi,139,141,88,london
17,word_counter,sed,132,150,41,london
18,word_counter,inde,121,99,40,zwickau
19,word_counter,dicitur,117,150,46,london
20,word_counter,terra,109,96,33,zwickau
21,word_counter,erat,101,123,42,london
22,word_counter,ut,95,127,42,london
23,word_counter,eius,95,116,38,london
24,word_counter,quia,94,94,26,zwickau
25,word_counter,tamen,94,107,20,london
26,word_counter,ibi,93,112,26,london
27,word_counter,etiam,93,95,48,london
28,word_counter,mare,92,117,36,london
29,word_counter,fuit,92,106,41,london
30,word_counter,autem,90,110,35,london
31,word_counter,monte,85,101,41,london
32,word_counter,ualde,85,105,30,london
33,word_counter,uero,84,90,9,london
34,word_counter,leucis,78,77,13,zwickau
35,word_counter,ciuitas,77,74,52,zwickau
36,word_counter,iuxta,71,89,27,london
37,word_counter,quo,69,92,28,london
38,word_counter,uel,67,63,27,zwickau
39,word_counter,quam,66,64,32,zwickau
40,word_counter,sub,66,70,29,london
41,word_counter,illa,66,39,10,zwickau
42,word_counter,nunc,65,77,30,london
43,word_counter,austrum,63,77,38,london
44,word_counter,montis,63,54,43,zwickau
45,word_counter,siue,63,51,24,zwickau
46,word_counter,mons,62,81,32,london
47,word_counter,orientem,62,71,36,london
48,word_counter,sicud,61,6,0,zwickau
49,word_counter,qua,60,67,30,london
50,word_counter,leucas,60,67,78,breslau
51,word_counter,habet,60,64,10,london
52,word_counter,enim,59,66,21,london
53,word_counter,supra,59,71,16,london
54,word_counter,loco,59,81,25,london
55,word_counter,sita,58,62,30,london
56,word_counter,3,56,36,4,zwickau
57,word_counter,ea,54,59,20,london
58,word_counter,inter,54,57,14,london
59,word_counter,fere,54,79,32,london
60,word_counter,pro,53,63,7,london
61,word_counter,nec,53,57,16,london
62,word_counter,ista,52,82,26,london
63,word_counter,4,51,49,17,zwickau
64,word_counter,eam,50,59,18,london
65,word_counter,uidi,50,56,15,london
66,word_counter,1,49,47,7,zwickau
67,word_counter,ibidem,49,55,14,london
68,word_counter,2,48,69,0,london
69,word_counter,hec,47,47,30,zwickau
70,word_counter,ciuitatis,47,67,18,london
71,word_counter,montem,46,50,20,london
72,word_counter,similiter,46,45,4,zwickau
73,word_counter,locus,45,61,25,london
74,word_counter,ita,44,53,22,london
75,word_counter,parte,44,51,15,london
76,word_counter,distat,44,34,14,zwickau
